folder,file,dimensions,bytes,source
logos,logo-master-transparent.png,660x295,178615,00-master-logo-transparent.png
logos,logo-master-transparent.webp,660x295,50546,00-master-logo-transparent.png
logos,_original_reference,660x295,188203,00-master-logo-transparent.png
logos,logo-master-reversed-transparent.png,660x295,102515,00-master-logo-reversed-transparent.png
logos,logo-master-reversed-transparent.webp,660x295,44016,00-master-logo-reversed-transparent.png
logos,_original_reference,660x295,107725,00-master-logo-reversed-transparent.png
logos,website-logo-white-1600x600.png,1600x600,254323,01-website-logo-white-1600x600.png
logos,website-logo-white-1600x600.webp,1600x600,20156,01-website-logo-white-1600x600.png
logos,_original_reference,1600x600,228021,01-website-logo-white-1600x600.png
logos,website-logo-lightgray-1600x600.png,1600x600,323321,02-website-logo-lightgray-1600x600.png
logos,website-logo-lightgray-1600x600.webp,1600x600,19832,02-website-logo-lightgray-1600x600.png
logos,_original_reference,1600x600,291151,02-website-logo-lightgray-1600x600.png
logos,website-logo-navy-1600x600.jpg,1600x600,83442,03-website-logo-navy-1600x600.jpg
logos,website-logo-navy-1600x600.webp,1600x600,39018,03-website-logo-navy-1600x600.jpg
logos,_original_reference,1600x600,162095,03-website-logo-navy-1600x600.jpg
logos,website-logo-charcoal-1600x600.jpg,1600x600,76424,04-website-logo-charcoal-1600x600.jpg
logos,website-logo-charcoal-1600x600.webp,1600x600,33964,04-website-logo-charcoal-1600x600.jpg
logos,_original_reference,1600x600,148841,04-website-logo-charcoal-1600x600.jpg
logos,website-header-logo-640x240.png,640x240,60755,21-website-header-logo-640x240.png
logos,website-header-logo-640x240.webp,640x240,7432,21-website-header-logo-640x240.png
logos,_original_reference,640x240,54508,21-website-header-logo-640x240.png
logos,website-header-logo-320x120.png,320x120,20494,22-website-header-logo-320x120.png
logos,website-header-logo-320x120.webp,320x120,3498,22-website-header-logo-320x120.png
logos,_original_reference,320x120,18675,22-website-header-logo-320x120.png
logos,email-signature-logo-600x200.png,600x200,46056,23-email-signature-logo-600x200.png
logos,email-signature-logo-600x200.webp,600x200,6186,23-email-signature-logo-600x200.png
logos,_original_reference,600x200,41383,23-email-signature-logo-600x200.png
social-ads,og-facebook-linkedin-1200x630.jpg,1200x630,37366,05-og-facebook-linkedin-1200x630.jpg
social-ads,og-facebook-linkedin-1200x630.webp,1200x630,17204,05-og-facebook-linkedin-1200x630.jpg
social-ads,_original_reference,1200x630,66459,05-og-facebook-linkedin-1200x630.jpg
social-ads,og-navy-1200x630.jpg,1200x630,68013,24-og-navy-1200x630.jpg
social-ads,og-navy-1200x630.webp,1200x630,32842,24-og-navy-1200x630.jpg
social-ads,_original_reference,1200x630,132528,24-og-navy-1200x630.jpg
social-ads,google-display-1_91x1-1200x628.jpg,1200x628,37542,06-google-display-1_91x1-1200x628.jpg
social-ads,google-display-1_91x1-1200x628.webp,1200x628,17242,06-google-display-1_91x1-1200x628.jpg
social-ads,_original_reference,1200x628,66654,06-google-display-1_91x1-1200x628.jpg
social-ads,google-display-1_92x1-1200x625.jpg,1200x625,37584,19-google-display-1_92x1-1200x625.jpg
social-ads,google-display-1_92x1-1200x625.webp,1200x625,17248,19-google-display-1_92x1-1200x625.jpg
social-ads,_original_reference,1200x625,66828,19-google-display-1_92x1-1200x625.jpg
social-ads,google-display-navy-1_91x1-1200x628.jpg,1200x628,68038,13-google-display-navy-1_91x1-1200x628.jpg
social-ads,google-display-navy-1_91x1-1200x628.webp,1200x628,33010,13-google-display-navy-1_91x1-1200x628.jpg
social-ads,_original_reference,1200x628,132640,13-google-display-navy-1_91x1-1200x628.jpg
social-ads,google-ads-landscape-logo-1200x300.png,1200x300,89749,20-google-ads-landscape-logo-1200x300.png
social-ads,google-ads-landscape-logo-1200x300.webp,1200x300,9822,20-google-ads-landscape-logo-1200x300.png
social-ads,_original_reference,1200x300,79677,20-google-ads-landscape-logo-1200x300.png
social-ads,youtube-web-16x9-1200x675.jpg,1200x675,37759,07-youtube-web-16x9-1200x675.jpg
social-ads,youtube-web-16x9-1200x675.webp,1200x675,17134,07-youtube-web-16x9-1200x675.jpg
social-ads,_original_reference,1200x675,67161,07-youtube-web-16x9-1200x675.jpg
social-ads,instagram-facebook-post-1x1-1080.png,1080x1080,155984,08-instagram-facebook-post-1x1-1080.png
social-ads,instagram-facebook-post-1x1-1080.webp,1080x1080,15302,08-instagram-facebook-post-1x1-1080.png
social-ads,_original_reference,1080x1080,140026,08-instagram-facebook-post-1x1-1080.png
social-ads,instagram-portrait-4x5-1080x1350.png,1080x1350,158100,09-instagram-portrait-4x5-1080x1350.png
social-ads,instagram-portrait-4x5-1080x1350.webp,1080x1350,15794,09-instagram-portrait-4x5-1080x1350.png
social-ads,_original_reference,1080x1350,141399,09-instagram-portrait-4x5-1080x1350.png
social-ads,story-reels-9x16-1080x1920.png,1080x1920,141872,10-story-reels-9x16-1080x1920.png
social-ads,story-reels-9x16-1080x1920.webp,1080x1920,16018,10-story-reels-9x16-1080x1920.png
social-ads,_original_reference,1080x1920,128302,10-story-reels-9x16-1080x1920.png
social-ads,google-display-4x5-1200x1500.jpg,1200x1500,41461,11-google-display-4x5-1200x1500.jpg
social-ads,google-display-4x5-1200x1500.webp,1200x1500,17824,11-google-display-4x5-1200x1500.jpg
social-ads,_original_reference,1200x1500,70294,11-google-display-4x5-1200x1500.jpg
social-ads,google-display-square-1200x1200.jpg,1200x1200,42859,12-google-display-square-1200x1200.jpg
social-ads,google-display-square-1200x1200.webp,1200x1200,16776,12-google-display-square-1200x1200.jpg
social-ads,_original_reference,1200x1200,73240,12-google-display-square-1200x1200.jpg
social-ads,social-square-navy-1200x1200.jpg,1200x1200,66062,14-social-square-navy-1200x1200.jpg
social-ads,social-square-navy-1200x1200.webp,1200x1200,30942,14-social-square-navy-1200x1200.jpg
social-ads,_original_reference,1200x1200,128098,14-social-square-navy-1200x1200.jpg
avatars-icons,avatar-white-1024.png,1024x1024,189833,15-avatar-white-1024.png
avatars-icons,avatar-white-1024.webp,1024x1024,13336,15-avatar-white-1024.png
avatars-icons,_original_reference,1024x1024,168608,15-avatar-white-1024.png
avatars-icons,avatar-navy-1024.jpg,1024x1024,49735,16-avatar-navy-1024.jpg
avatars-icons,avatar-navy-1024.webp,1024x1024,22366,16-avatar-navy-1024.jpg
avatars-icons,_original_reference,1024x1024,94430,16-avatar-navy-1024.jpg
avatars-icons,favicon-source-512.png,512x512,66287,17-favicon-source-512.png
avatars-icons,favicon-source-512.webp,512x512,6424,17-favicon-source-512.png
avatars-icons,_original_reference,512x512,58833,17-favicon-source-512.png
avatars-icons,apple-touch-icon-180.png,180x180,12818,18-apple-touch-icon-180.png
avatars-icons,_original_reference,180x180,11555,18-apple-touch-icon-180.png
avatars-icons,android-chrome-192.png,192x192,14241,25-android-chrome-192.png
avatars-icons,_original_reference,192x192,12799,25-android-chrome-192.png
avatars-icons,favicon-32.png,32x32,1025,26-favicon-32.png
avatars-icons,_original_reference,32x32,913,26-favicon-32.png
avatars-icons,favicon-16.png,16x16,382,27-favicon-16.png
